id,kanji,strokes,onreading,kunreading
744,三,3,san,"mi, mi(tsu), mit(tsu)"
745,山,3,san,yama
746,参,8,san,mai(ru)
747,桟,10,san,-
748,蚕,10,san,kaiko
749,惨,11,"san, 	zan",miji(me)
750,産,11,san,"u(mu), u(mareru), ubu"
751,傘,12,san,kasa
752,散,12,san,"chi(ru), chi(rasu), chi(rakasu), chi(rakaru)"
753,算,14,san,-
754,酸,14,san,su(i)
755,賛,15,san,-
756,残,10,zan,"noko(ru), noko(su)"
757,斬,11,zan,ki(ru)
758,暫,15,zan,-
759,士,3,shi,-
760,子,3,"shi, 	su",ko
761,支,4,shi,sasa(eru)
762,止,4,shi,"to(maru), to(meru)"
763,氏,4,shi,uji
764,仕,5,"shi, [ji]",tsuka(eru)
765,史,5,shi,-
766,司,5,shi,-
767,四,5,shi,"yo, yo(tsu), yot(tsu), yon"
768,市,5,shi,ichi
769,矢,5,shi,ya
770,旨,6,shi,mune
771,死,6,shi,shi(nu)
772,糸,6,shi,ito
773,至,6,shi,ita(ru)
774,伺,7,shi,ukaga(u)
775,志,7,shi,"kokoroza(su), kokorozashi"
776,私,7,shi,"watakushi, watashi"
777,使,8,shi,tsuka(u)
778,刺,8,shi,"sa(su), sa(saru)"
779,始,8,shi,"haji(meru), haji(maru)"
780,姉,8,shi,ane
781,枝,8,shi,eda
782,祉,8,shi,-
783,肢,8,shi,-
784,姿,9,shi,sugata
785,思,9,shi,omo(u)
786,指,9,shi,"yubi, sa(su)"
787,施,9,"shi, 	se",hodoko(su)
788,師,10,shi,-
789,恣,10,shi,-
790,紙,10,shi,kami
791,脂,10,shi,abura
792,視,11,shi,-
793,紫,12,shi,murasaki
794,詞,12,shi,-
795,歯,12,shi,ha
796,嗣,13,shi,-
797,試,13,shi,"kokoro(miru), tame(su)"
798,詩,13,shi,-
799,資,13,shi,-
800,飼,13,shi,ka(u)
801,誌,14,shi,-
802,雌,14,shi,"me, mesu"
803,摯,15,shi,-
804,賜,15,shi,tamawa(ru)
805,諮,16,shi,haka(ru)
806,示,5,"ji, 	shi",shime(su)
807,字,6,ji,aza
808,寺,6,ji,tera
809,次,6,"ji, 	shi","tsu(gu), tsugi"
810,耳,6,ji,mimi
811,自,6,"ji, 	shi",mizuka(ra)
812,似,7,ji,ni(ru)
813,児,7,"ji, [ni]",-
814,事,8,"ji, [zu]",koto
815,侍,8,ji,samurai
816,治,8,"chi, 	ji","osa(meru), osa(maru), nao(ru), nao(su)"
817,持,9,ji,mo(tsu)
818,時,10,ji,toki
819,滋,12,ji,-
820,慈,13,ji,itsuku(shimu)
821,辞,13,ji,ya(meru)
822,磁,14,ji,-
823,餌,15,ji,"esa, e"
824,璽,19,ji,-
825,鹿,11,-,"shika, [ka]"
826,式,6,shiki,-
827,識,19,shiki,-
828,軸,12,jiku,-
829,七,2,shichi,"nana, nana(tsu), [nano]"
830,叱,5,shitsu,shika(ru)
831,失,5,shitsu,ushina(u)
832,室,9,shitsu,muro
833,疾,10,shitsu,-
834,執,11,"shitsu, 	shuu",to(ru)
835,湿,12,shitsu,"shime(ru), shime(su)"
836,嫉,13,shitsu,-
837,漆,14,shitsu,urushi
838,質,15,"shitsu, shichi, [chi]",-
839,実,8,jitsu,"mi, mino(ru)"
840,芝,6,-,shiba
841,写,5,sha,"utsu(su), utsu(ru)"
842,社,7,sha,yashiro
843,車,7,sha,kuruma
844,舎,8,sha,-
845,者,8,sha,mono
846,射,10,sha,i(ru)
847,捨,11,sha,su(teru)
848,赦,11,sha,-
849,斜,11,sha,nana(me)
850,煮,12,sha,"ni(ru), ni(eru), ni(yasu)"
851,遮,14,sha,saegi(ru)
852,謝,17,sha,ayama(ru)
853,邪,8,ja,-
854,蛇,11,"ja, 	da",hebi
855,尺,4,shaku,-
856,借,10,shaku,ka(riru)
857,酌,10,shaku,ku(mu)
858,釈,11,shaku,-
859,爵,17,shaku,-
860,若,8,"jaku, [nyaku]","waka(i), mo(shikuwa)"
861,弱,10,jaku,"yowa(i), yowa(ru), yowa(maru), yowa(meru)"
862,寂,11,"jaku, [seki]","sabi, sabi(shii), sabi(reru)"
863,手,4,shu,"te, [ta]"
864,主,5,"shu, [su]","nushi, omo"
865,守,6,"shu, [su]","mamo(ru), mo(ri)"
866,朱,6,shu,-
867,取,8,shu,to(ru)
868,狩,9,shu,"ka(ru), ka(ri)"
869,首,9,shu,kubi
870,殊,10,shu,koto
871,珠,10,shu,-
872,酒,10,shu,"sake, [saka]"
873,腫,13,shu,"ha(reru), ha(rasu)"
874,種,14,shu,tane
875,趣,15,shu,omomuki
876,寿,7,ju,kotobuki
877,受,8,ju,"u(keru), u(karu)"
878,呪,8,ju,noro(u)
879,授,11,ju,"sazu(keru), sazu(karu)"
880,需,14,ju,-
881,儒,16,ju,-
882,樹,16,ju,-
883,収,4,shuu,"osa(meru), osa(maru)"
884,囚,5,shuu,-
885,州,6,shuu,su
886,舟,6,shuu,"fune, [funa]"
887,秀,7,shuu,hii(deru)
888,周,8,shuu,mawa(ri)
889,宗,8,"shuu, 	soo",-
890,拾,9,"shuu, 	juu",hiro(u)
891,秋,9,shuu,aki
892,臭,9,shuu,"kusa(i), nio(u)"
893,修,10,"shuu, [shu]","osa(meru), osa(maru)"
894,袖,10,shuu,sode
895,終,11,shuu,"o(waru), o(eru)"
896,羞,11,shuu,-
897,習,11,shuu,nara(u)
898,週,11,shuu,-
899,就,12,"shuu, [ju]","tsu(ku), tsu(keru)"
900,衆,12,"shuu, [shu]",-
901,集,12,shuu,"atsu(maru), atsu(meru), tsudo(u)"
902,愁,13,shuu,"ure(eru), ure(i)"
903,酬,13,shuu,-
904,醜,17,shuu,miniku(i)
905,蹴,19,shuu,ke(ru)
906,襲,22,shuu,oso(u)
907,十,2,"juu, 	jiQ","too, to"
908,汁,5,juu,shiru
909,充,6,juu,a(teru)
910,住,7,juu,"su(mu), su(mau)"
911,柔,9,"juu, 	nyuu","yawa(raka), yawa(rakai)"
912,重,9,"juu, 	choo","e, omo(i), kasa(neru), kasa(naru)"
913,従,10,"juu, [shoo], [ju]","shitaga(u), shitaga(eru)"
914,渋,11,juu,"shibu, shibu(i), shibu(ru)"
915,銃,14,juu,-
916,獣,16,juu,kemono
917,縦,16,juu,tate
918,叔,8,shuku,-
919,祝,9,"shuku, [shuu]",iwa(u)
920,宿,11,shuku,"yado, yado(ru), yado(su)"
921,淑,11,shuku,-
922,粛,11,shuku,-
923,縮,17,shuku,"chiji(mu), chiji(maru), chiji(meru), chiji(reru), chiji(rasu)"
924,塾,14,juku,-
925,熟,15,juku,u(reru)
926,出,5,"shutsu, [sui]","de(ru), da(su)"
927,述,8,jutsu,no(beru)
928,術,11,jutsu,-
929,俊,9,shun,-
930,春,9,shun,haru
931,瞬,18,shun,matata(ku)
932,旬,6,"jun, [shun]",-
933,巡,6,jun,megu(ru)
934,盾,9,jun,tate
935,准,10,jun,-
936,殉,10,jun,-
937,純,10,jun,-
938,循,12,jun,-
939,順,12,jun,-
940,準,13,jun,-
941,潤,15,jun,"uruo(u), uruo(su), uru(mu)"
942,遵,15,jun,-
943,処,5,sho,-
944,初,7,sho,"haji(me), haji(mete), hatsu, ui, so(meru)"
945,所,8,sho,tokoro
946,書,10,sho,ka(ku)
947,庶,11,sho,-
948,暑,12,sho,atsu(i)
949,署,13,sho,-
950,緒,14,"sho, [cho]",o
951,諸,15,sho,-
952,女,3,"jo, nyo, [nyoo]","onna, me"
953,如,6,"jo, 	nyo",-
954,助,7,jo,"tasu(keru), tasu(karu), suke"
955,序,7,jo,-
956,叙,9,jo,-
957,徐,10,jo,-
958,除,10,"jo, [ji]",nozo(ku)
959,小,3,shoo,"chii(sai), ko, o"
960,升,4,shoo,masu
961,少,4,shoo,"suku(nai), suko(shi)"
962,召,5,shoo,me(su)
963,匠,6,shoo,-
964,床,7,shoo,"toko, yuka"
965,抄,7,shoo,-
966,肖,7,shoo,-
967,尚,8,shoo,-
968,招,8,shoo,mane(ku)
969,承,8,shoo,uketamawa(ru)
970,昇,8,shoo,nobo(ru)
971,松,8,shoo,matsu
972,沼,8,shoo,numa
973,昭,9,shoo,-
974,宵,10,shoo,yoi
975,将,10,shoo,-
976,消,10,shoo,"ki(eru), ke(su)"
977,症,10,shoo,-
978,祥,10,shoo,-
979,称,10,shoo,-
980,笑,10,shoo,"wara(u), e(mu)"
981,唱,11,shoo,tona(eru)
982,商,11,shoo,akina(u)
983,渉,11,shoo,-
984,章,11,shoo,-
985,紹,11,shoo,-
986,訟,11,shoo,-
987,勝,12,shoo,"ka(tsu), masa(ru)"
988,掌,12,shoo,-
989,晶,12,shoo,-
990,焼,12,shoo,"ya(ku), ya(keru)"
991,焦,12,shoo,"ko(geru), ko(gasu), ko(gareru), ase(ru)"
992,硝,12,shoo,-
993,粧,12,shoo,-
994,詔,12,shoo,mikotonori
995,証,12,shoo,-
996,象,12,"shoo, 	zoo",-
997,傷,13,shoo,"kizu, ita(mu), ita(meru)"
998,奨,13,shoo,-
999,照,13,shoo,"te(ru), te(rasu), te(reru)"
1000,詳,13,shoo,kuwa(shii)
1001,彰,14,shoo,-
1002,障,14,shoo,sawa(ru)
1003,憧,15,shoo,akoga(reru)
1004,衝,15,shoo,-
1005,賞,15,shoo,-
1006,償,17,shoo,tsugu(nau)
1007,礁,17,shoo,-
1008,鐘,20,shoo,kane
1009,上,3,"joo, [shoo]","ue, [uwa], kami, a(geru), a(garu), nobo(ru), nobo(seru), nobo(su)"
1010,丈,3,joo,take
1011,冗,4,joo,-
1012,条,7,joo,-
1013,状,7,joo,-
1014,乗,9,joo,"no(ru), no(seru)"
1015,城,9,joo,shiro
1016,浄,9,joo,-
1017,剰,11,joo,-
1018,常,11,joo,"tsune, toko"
1019,情,11,"joo, [sei]",nasa(ke)
1020,場,12,joo,ba
1021,畳,12,joo,"tata(mu), tatami"
1022,蒸,13,joo,"mu(su), mu(reru), mu(rasu)"
1023,縄,15,joo,nawa
1024,壌,16,joo,-
1025,嬢,16,joo,-
1026,錠,16,joo,-
1027,譲,20,joo,yuzu(ru)
1028,醸,20,joo,kamo(su)
1029,色,6,"shoku, 	shiki",iro
1030,拭,9,shoku,"fu(ku), nugu(u)"
1031,食,9,"shoku, [jiki]","ku(u), ku(rau), ta(beru)"
1032,植,12,shoku,"u(eru), u(waru)"
1033,殖,12,shoku,"fu(eru), fu(yasu)"
1034,飾,13,shoku,kaza(ru)
1035,触,13,shoku,"fu(reru), sawa(ru)"
1036,嘱,15,shoku,-
1037,織,18,"shoku, 	shiki",o(ru)
1038,職,18,shoku,-
1039,辱,10,joku,hazukashi(meru)
1040,尻,5,-,shiri
1041,心,4,shin,kokoro
1042,申,5,shin,moo(su)
1043,伸,7,shin,"no(biru), no(basu), no(beru)"
1044,臣,7,"shin, 	jin",-
1045,芯,7,shin,-
1046,身,7,shin,mi
1047,辛,7,shin,kara(i)
1048,侵,9,shin,oka(su)
1049,信,9,shin,-
1050,津,9,shin,tsu
1051,神,9,"shin, 	jin","kami, [kan], [koo]"
1052,唇,10,shin,kuchibiru
1053,娠,10,shin,-
1054,振,10,shin,"fu(ru), fu(ruu), fu(reru)"
1055,浸,10,shin,"hita(su), hita(ru)"
1056,真,10,shin,ma
1057,針,10,shin,hari
1058,深,11,shin,"fuka(i), fuka(maru), fuka(meru)"
1059,紳,11,shin,-
1060,進,11,shin,"susu(mu), susu(meru)"
1061,森,12,shin,mori
1062,診,12,shin,mi(ru)
1063,寝,13,shin,"ne(ru), ne(kasu)"
1064,慎,13,shin,tsutsushi(mu)
1065,新,13,shin,"atara(shii), ara(ta), nii"
1066,審,15,shin,-
1067,震,15,shin,"furu(u), furu(eru)"
1068,薪,16,shin,takigi
1069,親,16,shin,"oya, shita(shii), shita(shimu)"
1070,人,2,"jin, 	nin",hito
1071,刃,3,jin,ha
1072,仁,4,"jin, [ni]",-
1073,尽,6,jin,"tsu(kusu), tsu(kiru), tsu(kasu)"
1074,迅,6,jin,-
1075,甚,9,jin,"hanaha(da), hanaha(dashii)"
1076,陣,10,jin,-
1077,尋,12,jin,tazu(neru)
1078,腎,13,jin,-
1079,須,12,su,-
1080,図,7,"zu, 	to",haka(ru)
1081,水,4,sui,mizu
1082,吹,7,sui,fu(ku)
1083,垂,8,sui,"ta(reru), ta(rasu)"
1084,炊,8,sui,ta(ku)
1085,帥,9,sui,-
1086,粋,10,sui,iki
1087,衰,10,sui,otoro(eru)
1088,推,11,sui,o(su)
1089,酔,11,sui,yo(u)
1090,遂,12,sui,to(geru)
1091,睡,13,sui,-
1092,穂,15,sui,ho
1093,随,12,zui,-
1094,髄,19,zui,-
1095,枢,8,suu,-
1096,崇,11,suu,-
1097,数,13,"suu, [su]","kazu, kazo(eru)"
1098,据,11,-,"su(eru), su(waru)"
1099,杉,7,-,sugi
1100,裾,13,-,suso
1101,寸,3,sun,-
1102,瀬,19,-,se
1103,是,9,ze,-
1104,井,4,"sei, [shoo]",i
1105,世,5,"sei, 	se",yo
1106,正,5,"sei, 	shoo","tada(shii), tada(su), masa"
1107,生,5,"sei, 	shoo","i(kiru), i(kasu), i(keru), u(mareru), u(mu), o(u), ha(eru), ha(yasu), ki, nama"
1108,成,6,"sei, [joo]","na(ru), na(su)"
1109,西,6,"sei, 	sai",nishi
1110,声,7,"sei, [shoo]","koe, [kowa]"
1111,制,8,sei,-
1112,姓,8,"sei, 	shoo",-
1113,征,8,sei,-
1114,性,8,"sei, 	shoo",-
1115,青,8,"sei, [shoo]","ao, ao(i)"
1116,斉,8,sei,-
1117,政,9,"sei, [shoo]",matsurigoto
1118,星,9,"sei, [shoo]",hoshi
1119,牲,9,sei,-
1120,省,9,"sei, 	shoo","kaeri(miru), habu(ku)"
1121,凄,10,sei,-
1122,逝,10,sei,"yu(ku), i(ku)"
1123,清,11,"sei, [shoo]","kiyo(i), kiyo(maru), kiyo(meru)"
1124,盛,11,"sei, [joo]","mo(ru), saka(ru), saka(n)"
1125,婿,12,sei,muko
1126,晴,12,sei,"ha(reru), ha(rasu)"
1127,勢,13,sei,ikio(i)
1128,聖,13,sei,-
1129,誠,13,sei,makoto
1130,精,14,"sei, [shoo]",-
1131,製,14,sei,-
1132,誓,14,sei,chika(u)
1133,静,14,"sei, [joo]","shizu, shizu(ka), shizu(maru), shizu(meru)"
1134,請,15,"sei, [shin]","ko(u), u(keru)"
1135,整,16,sei,"totono(eru), totono(u)"
1136,醒,16,sei,-
1137,税,12,zei,-
1138,夕,3,seki,yuu
1139,斥,5,seki,-
1140,石,5,"seki, [shaku], [koku]",ishi
1141,赤,7,"seki, [shaku]","aka, aka(i), aka(ramu), aka(rameru)"
1142,昔,8,"seki, [shaku]",mukashi
1143,析,8,seki,-
1144,席,10,seki,-
1145,脊,10,seki,-
1146,隻,10,seki,-
1147,惜,11,seki,"o(shii), o(shimu)"
1148,戚,11,seki,-
1149,責,11,seki,se(meru)
1150,跡,13,seki,ato
1151,積,16,seki,"tsu(mu), tsu(moru)"
1152,績,17,seki,-
1153,籍,20,seki,-
1154,切,4,"setsu, [sai]","ki(ru), ki(reru)"
1155,折,7,setsu,"o(ru), ori, o(reru)"
1156,拙,8,setsu,tsutana(i)
1157,窃,9,setsu,-
1158,接,11,setsu,tsu(gu)
1159,設,11,setsu,moo(keru)
1160,雪,11,setsu,yuki
1161,摂,13,setsu,-
1162,節,13,"setsu, [sechi]",fushi
1163,説,14,"setsu, [zei]",to(ku)
1164,舌,6,zetsu,shita
1165,絶,12,zetsu,"ta(eru), ta(yasu), ta(tsu)"
1166,千,3,sen,chi
1167,川,3,sen,kawa
1168,仙,5,sen,-
1169,占,5,sen,"shi(meru), urana(u)"
1170,先,6,sen,saki
1171,宣,9,sen,-
1172,専,9,sen,moppa(ra)
1173,泉,9,sen,izumi
1174,浅,9,sen,asa(i)
1175,洗,9,sen,ara(u)
1176,染,9,sen,"so(meru), so(maru), shi(miru), shi(mi)"
1177,扇,10,sen,oogi
1178,栓,10,sen,-
1179,旋,11,sen,-
1180,船,11,sen,"fune, [funa]"
1181,戦,13,sen,"ikusa, tataka(u)"
1182,煎,13,sen,i(ru)
1183,羨,13,sen,"uraya(mu), uraya(mashii)"
1184,腺,13,sen,-
1185,詮,13,sen,-
1186,践,13,sen,-
1187,箋,14,sen,-
1188,銭,14,sen,zeni
1189,潜,15,sen,"hiso(mu), mogu(ru)"
1190,線,15,sen,-
1191,遷,15,sen,-
1192,選,15,sen,era(bu)
1193,薦,16,sen,susu(meru)
1194,繊,17,sen,-
1195,鮮,17,sen,aza(yaka)
1196,全,6,zen,"matta(ku), sube(te)"
1197,前,9,zen,mae
1198,善,12,zen,yo(i)
1199,然,12,"zen, 	nen",-
1200,禅,13,zen,-
1201,漸,14,zen,-
1202,膳,16,zen,-
1203,繕,18,zen,tsukuro(u)
1204,狙,8,so,nera(u)
1205,阻,8,so,haba(mu)
1206,祖,9,so,-
1207,租,10,so,-
1208,素,10,"so, 	su",-
1209,措,11,so,-
1210,粗,11,so,ara(i)
1211,組,11,so,"ku(mu), kumi"
1212,疎,12,so,"uto(i), uto(mu)"
1213,訴,12,so,utta(eru)
1214,塑,13,so,-
1215,遡,14,so,sakanobo(ru)
1216,礎,18,so,ishizue
1217,双,4,soo,futa
1218,壮,6,soo,-
1219,早,6,"soo, [saQ]","haya(i), haya(maru), haya(meru)"
1220,争,6,soo,araso(u)
1221,走,7,soo,hashi(ru)
1222,奏,9,soo,kana(deru)
1223,相,9,"soo, 	shoo",ai
1224,荘,9,soo,-
1225,草,9,soo,kusa
1226,送,9,soo,oku(ru)
1227,倉,10,soo,kura
1228,捜,10,soo,saga(su)
1229,挿,10,soo,sa(su)
1230,桑,10,soo,kuwa
1231,巣,11,soo,su
1232,掃,11,soo,ha(ku)
1233,曹,11,soo,-
1234,曽,11,"soo, [zo]",-
1235,爽,11,soo,sawa(yaka)
1236,窓,11,soo,mado
1237,創,12,soo,tsuku(ru)
1238,喪,12,soo,mo
1239,痩,12,soo,ya(seru)
1240,葬,12,soo,hoomu(ru)
1241,装,12,"soo, 	shoo",yosoo(u)
1242,僧,13,soo,-
1243,想,13,"soo, [so]",-
1244,層,14,soo,-
1245,総,14,soo,-
1246,遭,14,soo,a(u)
1247,槽,15,soo,-
1248,踪,15,soo,-
1249,操,16,soo,"misao, ayatsu(ru)"
1250,燥,17,soo,-
1251,霜,17,soo,shimo
1252,騒,18,soo,sawa(gu)
1253,藻,19,soo,mo
1254,造,10,zoo,tsuku(ru)
1255,像,14,zoo,-
1256,増,14,zoo,"ma(su), fu(eru), fu(yasu)"
1257,憎,14,zoo,"niku(mu), niku(i), niku(rashii), niku(shimi)"
1258,蔵,15,zoo,kura
1259,贈,18,"zoo, [soo]",oku(ru)
1260,臓,19,zoo,-
1261,即,7,soku,-
1262,束,7,soku,taba
1263,足,7,soku,"ashi, ta(riru), ta(ru), ta(su)"
1264,促,9,soku,unaga(su)
1265,則,9,soku,-
1266,息,10,soku,iki
1267,捉,10,soku,tora(eru)
1268,速,10,soku,"haya(i), haya(meru), haya(maru), sumi(yaka)"
1269,側,11,soku,gawa
1270,測,12,soku,haka(ru)
1271,俗,9,zoku,-
1272,族,11,zoku,-
1273,属,12,zoku,-
1274,賊,13,zoku,-
1275,続,13,zoku,"tsuzu(ku), tsuzu(keru)"
1276,卒,8,sotsu,-
1277,率,11,"sotsu, 	ritsu",hiki(iru)
1278,存,6,"son, 	zon",-
1279,村,7,son,mura
1280,孫,10,son,mago
1281,尊,12,son,"tatto(i), tooto(i), tatto(bu), tooto(bu)"
1282,損,13,son,"soko(nau), soko(neru)"
1283,遜,14,son,-
1284,他,5,ta,hoka
1285,多,6,ta,oo(i)
1286,汰,7,ta,-
1287,打,5,da,u(tsu)
1288,妥,7,da,-
1289,唾,11,da,tsuba
1290,堕,12,da,-
1291,惰,12,da,-
1292,駄,14,da,-
1293,太,4,"tai, 	ta","futo(i), futo(ru)"
1294,対,7,"tai, 	tsui",-
1295,体,7,"tai, 	tei",karada
1296,耐,9,tai,ta(eru)
1297,待,9,tai,ma(tsu)
1298,怠,9,tai,"okota(ru), nama(keru)"
1299,胎,9,tai,-
1300,退,9,tai,"shirizo(ku), shirizo(keru)"
1301,帯,10,tai,"o(biru), obi"
1302,泰,10,tai,-
1303,堆,11,tai,-
1304,袋,11,tai,fukuro
1305,逮,11,tai,-
1306,替,12,tai,"ka(eru), ka(waru)"
1307,貸,12,tai,ka(su)
1308,隊,12,tai,-
1309,滞,13,tai,todokoo(ru)
1310,態,14,tai,-
1311,戴,17,tai,-
1312,大,3,"dai, 	tai","oo, oo(kii), oo(ini)"
1313,代,5,"dai, 	tai","ka(waru), ka(eru), yo, shiro"
1314,台,5,"dai, 	tai",-
1315,第,11,dai,-
1316,題,18,dai,-
1317,滝,13,-,taki
1318,宅,6,taku,-
1319,択,7,taku,-
1320,沢,7,taku,sawa
1321,卓,8,taku,-
1322,拓,8,taku,-
1323,託,10,taku,-
1324,濯,17,taku,-
1325,諾,15,daku,-
1326,濁,16,daku,"nigo(ru), nigo(su)"
1327,但,7,-,tada(shi)
1328,達,12,tatsu,-
1329,脱,11,datsu,"nu(gu), nu(geru)"
1330,奪,14,datsu,uba(u)
1331,棚,12,-,tana
1332,誰,15,-,dare
1333,丹,4,tan,-
1334,旦,5,"tan, dan",-
1335,担,8,tan,"katsu(gu), nina(u)"
1336,単,9,tan,-
1337,炭,9,tan,sumi
1338,胆,9,tan,-
1339,探,11,tan,"sagu(ru), saga(su)"
1340,淡,11,tan,awa(i)
1341,短,12,tan,mijika(i)
1342,嘆,13,tan,"nage(ku), nage(kawashii)"
1343,端,14,tan,"hashi, ha, hata"
1344,綻,14,tan,hokoro(biru)
1345,誕,15,tan,-
1346,鍛,17,tan,kita(eru)
1347,団,6,"dan, [ton]",-
1348,男,7,"dan, 	nan",otoko
1349,段,9,dan,-
1350,断,11,dan,"ta(tsu), kotowa(ru)"
1351,弾,12,dan,"hi(ku), hazu(mu), tama"
1352,暖,13,dan,"atata(ka), atata(kai), atata(maru), atata(meru)"
1353,談,15,dan,-
1354,壇,16,"dan, [tan]",-
1355,地,6,"chi, 	ji",-
1356,池,6,chi,ike
1357,知,8,chi,shi(ru)
1358,値,10,chi,"ne, atai"
1359,恥,10,chi,"ha(jiru), haji, ha(jirau), ha(zukashii)"
1360,致,10,chi,ita(su)
1361,遅,12,chi,"oku(reru), oku(rasu), oso(i)"
1362,痴,13,chi,-
1363,稚,13,chi,-
1364,置,13,chi,o(ku)
1365,緻,16,chi,-
1366,竹,6,chiku,take
1367,畜,10,chiku,-
1368,逐,10,chiku,-
1369,蓄,13,chiku,takuwa(eru)
1370,築,16,chiku,kizu(ku)
1371,秩,10,chitsu,-
1372,窒,11,chitsu,-
1373,茶,9,"cha, 	sa",-
1374,着,12,"chaku, [jaku]","ki(ru), ki(seru), tsu(ku), tsu(keru)"
1375,嫡,14,chaku,-
1376,中,4,"chuu, [jyuu]",naka
1377,仲,6,chuu,naka
1378,虫,6,chuu,mushi
1379,沖,7,chuu,oki
1380,宙,8,chuu,-
1381,忠,8,chuu,-
1382,抽,8,chuu,-
1383,注,8,chuu,soso(gu)
1384,昼,9,chuu,hiru
1385,柱,9,chuu,hashira
1386,衷,10,chuu,-
1387,酎,10,chuu,-
1388,鋳,15,chuu,i(ru)
1389,駐,15,chuu,-
1390,著,11,cho,"arawa(su), ichijiru(shii)"
1391,貯,12,cho,-
1392,丁,2,"tei, 	choo",-
1393,弔,4,choo,tomura(u)
1394,庁,5,choo,-
1395,兆,6,choo,"kiza(su), kiza(shi)"
1396,町,7,choo,machi
1397,長,8,choo,naga(i)
1398,挑,9,choo,ido(mu)
1399,帳,11,choo,-
1400,張,11,choo,ha(ru)
1401,彫,11,choo,ho(ru)
1402,眺,11,choo,naga(meru)
1403,釣,11,choo,tsu(ru)
1404,頂,11,choo,"itada(ku), itadaki"
1405,鳥,11,choo,tori
1406,朝,12,choo,asa
1407,貼,12,choo,ha(ru)
1408,超,12,choo,"ko(eru), ko(su)"
1409,腸,13,choo,-
1410,跳,13,choo,"ha(neru), to(bu)"
1411,徴,14,choo,-
1412,嘲,15,choo,azake(ru)
1413,潮,15,choo,shio
1414,澄,15,choo,"su(mu), su(masu)"
1415,調,15,choo,"shira(beru), totono(u), totono(eru)"
1416,聴,17,choo,ki(ku)
1417,懲,18,choo,"ko(riru), ko(rasu), ko(rashimeru)"
1418,直,8,"choku, 	jiki","tada(chini), nao(su), nao(ru)"
1419,勅,9,choku,-
1420,捗,10,choku,-
1421,沈,7,chin,"shizu(mu), shizu(meru)"
1422,珍,9,chin,mezura(shii)
1423,朕,10,chin,-
1424,陳,11,chin,-
1425,賃,13,chin,-
1426,鎮,18,chin,"shizu(meru), shizu(maru)"
1427,追,9,tsui,o(u)
1428,椎,12,tsui,-
1429,墜,15,tsui,-
